id_dim_vigencia,id_dim_contrato,id_dim_contratada,id_dim_licitacao,val_executado,val_mensal,val_total,"num_contrato","contratada","cnpj","objeto","cat_objeto","res_objeto","uni_beneficiada","sei_originario","sei_pagamento","ano_contrato","ini_vigencia","fim_vigencia","decisao","rlc","classificacao_rlc","rtc","telefone_rtc","email_rtc","tip_logadouro","logadouro_con","numero","complemento","bairro","cidade","uf","cep","npl","modalidade","num_empenho","adi_prazo","adi_valor","num_apostilamento","situacao","lei","num_peintegrado","sta_peintegrado","num_efisco","sta_efisco","sta_remessatce","sta_transferegov","sta_doe","logadouro","contato_rtc",vigencia,dia_inicio,mes_inicio,ano_inicio,dia_fim,mes_fim,ano_fim,"semestre_inicio","semestre_fim"
231,10341,551,1343,16853143.0,0.0,19907214.0,"092025","Renovation Serviços e Manutenção Predial","28.198.456/000127","Prestação de serviços de reforma da pavimentação do Campus Santo Amaro da UPE (ESEF e condomínio), nas condições
estabelecidas no Termo de Referência, na proposta da CONTRATADA e nos demais documentos constantes do processo relativo ao PREGÃO ELETRÔNICO No 2951.2024.CPL UPE EN.PE.0047.FESP
UPE.","Serviço de engenharia ","Outros","Santo Amaro","0040608665.000024/202415"," ","2025.0","2025/06/25 00:00:00.000","2026/03/22 00:00:00.000"," "," "," "," ","0"," "," "," ","0"," "," "," "," ","0","2951.2024.CPL UPE EN.PE.0047.FESPUPE","Pregão eletrônico","2025NE000990"," ","1.0","0","Em execução","14133/21","LEG00038/2025FESPUPE440702","CONCLUÍDO","4/2025","ATUALIZADO","COM PENDÊNCIA"," "," ","null null, null- null- null, null- null, null","Fone: null. E-mail: null",270,25,6,2025,22,3,2026,"1","1"
232,10342,552,1344,0.0,0.0,5680000.0,"362025","Philips Medical Systems ","13.406.686/000167","ECOCARDIOGRAFO  SISTEMA DIGITAL DE ALTA RESOLUCAO PARA PARA ULTRASSONOGRAFIA DIAGNOSTICA  ESTRUTURA E FUNCAO CARDIACA,,SOFTWARE GERAL PARA RALIZACAO DE EXAMES VASCULARES E TRANSESOFAGICOS","Equipamento","Ecocardiógrafo","Outros","0040609855.000020/202543"," ","2025.0","2025/12/17 00:00:00.000","2026/12/17 00:00:00.000"," "," "," "," ","0"," "," "," ","0"," "," "," "," ","0","3963.2025.CPL.REIT.PE.0014.FESPUPE","Pregão eletrônico","2025NE3872
2025NE3873"," "," ","0","Em execução","14133/21","0"," ","0","COM PENDÊNCIA"," ","SEM CADASTRO"," ","null null, null- null- null, null- null, null","Fone: null. E-mail: null",365,17,12,2025,17,12,2026,"2","2"
143,10343,553,1345,113987154.0,3513859.0,216497424.0,"392021","Pearson Education do Brasil ","01.404.158/001838","Contratação de serviço de acesso à plataforma de livros eletrônicos, Biblioteca Virtual","Serviço contínuo","Sistemas e softwares","UPE","0040608277.000008/202153","0040610245.000023/202544","2021.0","2021/11/30 00:00:00.000","2025/11/30 00:00:00.000","Não prorrogar"," "," "," ","0"," "," "," ","0"," "," "," "," ","0","01302021CPLREITIN0016FESPUPE","Inexigibilidade","2024NE002581","5º","5º","0","Em execução","8666/93","LEG00051/2025FESPUPE440702","CONCLUÍDO","203/2021"," ","CONCLUÍDO"," "," ","null null, null- null- null, null- null, null","Fone: null. E-mail: null",1461,30,11,2021,30,11,2025,"2","2"
233,10344,554,1346,692400.0,173100.0,2077200.0,"042025","CS Brasil Frotas ","27.595.780/000116","CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE VEÍCULOS, CLASSIFICAÇÃO VS1, VISANDO ATENDER AS NECESSIDADES DA UNIVERSIDADE DE PERNAMBUCO, DE ACORDO COM AS ESPECIFICAÇÕES E DEMAIS DISPOSIÇÕES CONTIDAS NO TERMO DE REFERÊNCIA.","Serviço contínuo","Locação de veículos","Reitoria","00406110014255.000007/202573","0040610245.000089/202534","2025.0","2025/04/11 00:00:00.000","2027/10/10 00:00:00.000"," "," "," "," ","0"," "," "," ","0"," "," "," "," ","0","0475.2024.AC07.PE.0200.SAD","Ata de registro de preço ","2025NE000510"," "," ","0","Em execução","14133/21","LEG00017/2025FESPUPE440702","CONCLUÍDO","11/2025","COM PENDÊNCIA","CONCLUÍDO"," "," ","null null, null- null- null, null- null, null","Fone: null. E-mail: null",912,11,4,2025,10,10,2027,"1","2"
234,10345,555,1347,1340497.0,550889.0,6610668.0,"282024","Gestão de T. em S. S. e A. de Mão de Obra","11457039000159.0","Prestação de serviços de mão de obra terceirizada, função eletricista, por um período de 12 meses, com disponibilização de equipamentos e utensílios necessários à adequada execução dos serviços, a fim de atender as demandas da Reitoria da Universidade de Pernambuco UPE, conforme disposições contidas no Termo de Referência, edital e respectivo anexos, do PROCESSO Nº 0062.2023, PREGÃO ELETRÔNICO Nº 0049.2023.","Serviço com mão de obra","Eletricista","Reitoria","00406110014255.000069/202402","0040608353.000002/202550","2024.0","2024/12/12 00:00:00.000","2025/12/12 00:00:00.000","Não prorrogar"," "," "," ","0"," "," "," ","0"," "," "," "," ","0","00622023PREGXIVPE0049SAD","Pregão eletrônico","2024NE002364"," "," ","0","Em execução","8666/93","LEG00009/2025FESPUPE440702","CONCLUÍDO","158/2024"," ","CONCLUÍDO","CONCLUÍDO"," ","null null, null- null- null, null- null, null","Fone: null. E-mail: null",365,12,12,2024,12,12,2025,"2","2"
235,10346,556,1348,39510.0,0.0,199010.0,"322024","DTEL Telecom ","09.376.370/000100","Prestação de serviço de acesso à INTERNET através de 01 (um) link de 1000 Mbps para a Fundação Universidade de Pernambuco  Unidade Surubim, dedicado e full duplex por empresa especializada e, devidamente autorizada pela ANATEL","Serviço contínuo","Internet","Surubim","0040610228.000005/202490","0040610238.000021/202544","2024.0","2024/12/18 00:00:00.000","2025/12/18 00:00:00.000"," "," "," "," ","0"," "," "," ","0"," "," "," "," ","0","31812024CCDDL0075FESPUPE","Dispensa","2024NE002945"," "," ","0","Em execução","14133/21","         LEG00013/2025FESPUPE440702","CONCLUÍDO","233/2024"," ","CONCLUÍDO","CONCLUÍDO"," ","null null, null- null- null, null- null, null","Fone: null. E-mail: null",365,18,12,2024,18,12,2025,"2","2"
236,10347,557,1349,434589.0,592621.0,7111452.0,"302025","Alforge Segurança Patrimonial","13.343.833/000105","Prestação de serviços de Vigilância Armada, a serem
executados com regime de dedicação exclusiva de mão de obra na UPE Campus Caruaru","Serviço com mão de obra","Vigilância armada","Caruaru","00406110020517.000018/202528"," ","2025.0","2025/11/25 00:00:00.000","2026/11/25 00:00:00.000"," "," "," "," ","0"," "," "," ","0"," "," "," "," ","0","1426.2024.AC36PE.352.SAD","Pregão eletrônico","2025NE003205"," "," ","0","Em execução","14133/21","CT00001/2025-FESP-UPE-440702","SEM CADASTRO","150/2025","COM PENDÊNCIA"," ","NÃO SE ENQUADRA"," ","null null, null- null- null, null- null, null","Fone: null. E-mail: null",365,25,11,2025,25,11,2026,"2","2"
237,10348,558,1350,34286272.0,850203.0,44569896.0,"252021","Kátia Cristina Pereira de Freitas","86377388420.0","Locação do imóvel localizado na Cidade de Palmares, na Rua Dr. Homero de Fança Limeira, nº 289, Bairro Santa Rosa, matriculado no Cartório de Registro de Imóveis da Comarca de Palmares sob o nº 01040370713001, com área construída 913,55m² da proprietária Katia Cristina Pereira de Freitas.","Serviço contínuo","Locação de imóvel","Mata Sul","0040608353.000013/201991","0040610245.000013/202517","2021.0","2021/05/01 00:00:00.000","2026/05/01 00:00:00.000"," "," "," "," ","0"," "," "," ","0"," "," "," "," ","0","01132019 DL 0054FESPUPE","Dispensa","2024NE000124"," "," ","0","Em execução","8666/93","LEG00056/2025-FESP-UPE-440702","CONCLUÍDO","45/2021"," ","CONCLUÍDO"," "," ","null null, null- null- null, null- null, null","Fone: null. E-mail: null",1826,1,5,2021,1,5,2026,"1","1"
238,10349,559,1351,2384020.0,0.0,2384020.0,"142024","Autografia E. Comunicação e Comércio","14.518.215/0001-03","Prestação de serviços de revisão ortográfica, diagramação, impressão, edição, tradução e distribuição de livros, destinados às diversas áreas do conhecimento da Universidade de Pernambuco","Serviço contínuo","Edição ","Reitoria","0040608274.000014/202301"," ","2024.0","2024/03/22 00:00:00.000","2025/03/22 00:00:00.000","Não prorrogar"," "," "," ","0"," "," "," ","0"," "," "," "," ","0","00262023CPLREITPE0010FESPUPE","Pregão eletrônico","2023NE002505"," "," ","0","Encerrado"," ","LEG00014/2024FESPUPE440702","CONCLUÍDO","0"," ","ENCERRADO"," "," ","null null, null- null- null, null- null, null","Fone: null. E-mail: null",365,22,3,2024,22,3,2025,"1","1"
239,10350,560,1352,86696.0,4744.0,56928.0,"192024","Dibasa Comércio e Serviços ","11.836.848/0001-71","Prestação de serviços de SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE ELEVADORES, COM REPOSIÇÃO DE PEÇAS, para atender as necessidades do Bloco D da Reitoria da Universidade de Pernambuco como também do prédio do IIT (Instituto de Inovação Tecnológica da UPE), da Universidade de Pernambuco.","Serviço contínuo","Manutenção de elevador","Reitoria e IIT","00406110014255.000018/202391","0040610245.000009/202541","2024.0","2024/05/23 00:00:00.000","2026/05/22 00:00:00.000"," "," "," "," ","0"," "," "," ","0"," "," "," "," ","0","04922024CCDDL0009FESPUPE","Dispensa","2024NE000575","1º"," ","0","Em execução","14133/21"," 	LEG00019/2024FESPUPE440702","CONCLUÍDO","27/2024"," ","CONCLUÍDO"," "," ","null null, null- null- null, null- null, null","Fone: null. E-mail: null",729,23,5,2024,22,5,2026,"1","1"
