NÚMERO DO CONTRATO,OBJETO DO CONTRATO,CONTRATADA,CNPJ DA CONTRATADA,VALOR TOTAL,VALOR EXECUTADO,DATA DE INÍCIO,DATA DE TÉRMINO,SITUAÇÃO DO CONTRATO,UNIDADE BENEFICIADA,CATEGORIA DO OBJETO
86,"Locacao De Imovel Correspondente A Uma Area De 1.457M2, Inserida No Empreendimento Polo Comercial De Caruaru, Localizado Na Br 104, Km62, Nova Caruaru.",Polo Comercial De Caruaru Ltda,05970676000121,1093809.36,2952064.95,2019-10-01,2026-10-01,Em Execucao,Campus Caruaru,Servico De Prestacao Continuada
03,"Prestacao Do Servico De Gerenciamento Do Abastecimento Veiculos/Equipamentos Envolvendo A Implantacao E Operacao De Um Sistema Informatizado, Via Internet, Atraves Da Tecnologia De Cartao Eletronico Para A Reitoria Da Upe",Maxifrota Servicos De Manutencao E Frota,27284516000161,47102.76,128352.96,2020-09-21,2026-09-21,Em Execucao,Reitoria,Servico De Prestacao Continuada
03,"Prestacao Do Servico De Gerenciamento Do Abastecimento Veiculos/Equipamentos Envolvendo A Implantacao E Operacao De Um Sistema Informatizado, Via Internet, Atraves Da Tecnologia De Cartao Eletronico Para A Reitoria Da Upe",Maxifrota Servicos De Manutencao E Frota,27284516000161,18000.0,41418.64,2020-09-21,2026-09-21,Em Execucao,Reitoria,Servico De Prestacao Continuada
15,"Contratacao De Produtos E Servicos Por Meio De Pacote De Servicos Dos Correios Mediante Adesao Ao Termo De Condicoes Comerciais E Anexos, Quando Contratados Servicos Especificos, Que Permite A Compra De Produtos E Utilizacao Dos Diversos Servicos Dos Correios Por Meio Dos Canais De Atendimento Disponibilizados.",Empresa Brasileira De Correios E Telegrafos Etc,34028316002157,10000.0,12957.4,2021-03-18,2026-03-17,Em Execucao,Reitoria,Servico De Prestacao Continuada
25,"Locacao Do Imovel Localizado Na Cidade De Palmares, Na Rua Dr. Homero De Fanca Limeira, Nº 289, Bairro Santa Rosa, Matriculado No Cartorio De Registro De Imoveis Da Comarca De Palmares Sob O Nº 01040370713001, Com Area Construida 913,55M² Da Proprietaria Katia Cristina Pereira De Freitas.",Katia Cristina Pereira De Freitas,86377388420,453883.08,426848.19,2021-05-01,2026-05-01,Em Execucao,Campus Mata Sul,Servico De Prestacao Continuada
31,Prestacao De Servicos De Vigilancia Armada Para Atender A Reitoria Da Upe E Do Antigo Imovel Da Fop (Camaragibepe).,Alforge Seguranca Patrimonial Ltda,13343833000105,921132.96,3121215.73,2021-08-03,2026-08-03,Em Execucao,Combo 7 - Reitoria - Fop Camaragibe,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
19,"Prestacao De Servicos De Limpeza E Conservacao Predial, Visando A Obtencao De Adequadas Condicoes De Salubridade E Higiene, Com A Disponibilizacao De Mao De Obra, Produtos Saneantes Domissanitarios, Materiais E Equipamentos Para Atender Iit – Instituto De Inovacao Tecnologica Da Upe",Active Gestao E Servicos Ltda,28914691000158,92026.68,298090.97,2022-05-02,2026-05-01,Em Execucao,Iit - Instituto De Inovacao Tecnologica,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
21,"Prestacao De Servicos De Limpeza E Conservacao Predial, Visando A Obtencao De Adequadas Condicoes De Salubridade E Higiene, Com A Disponibilizacao De Mao De Obra, Produtos Saneantes Domissanitarios, Materiais E Equipamentos Para Atender O Instituto Confucio/ Upe.",Prosel Terceirizacao Limpeza E Construcao Eireli,37548251000134,36283.2,130642.36,2022-05-10,2026-05-09,Em Execucao,Ic - Instituto Confucio,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
22,"Prestacao De Servicos De Limpeza E Conservacao Predial, Visando A Obtencao De Adequadas Condicoes De Salubridade E Higiene, Com A Disponibilizacao De Mao De Obra, Produtos Saneantes Domissanitarios, Materiais E Equipamentos Para Atender A Reitoria Da Universidade De Pernambuco E O Campus Surubim Da Upe.",Toggi Service Limpeza E Conservacao Eireli,21821091000104,388796.04,1163214.78,2022-06-01,2026-05-31,Em Execucao,Combo 6 - Reitoria - Surubim,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
22,"Prestacao De Servicos De Limpeza E Conservacao Predial, Visando A Obtencao De Adequadas Condicoes De Salubridade E Higiene, Com A Disponibilizacao De Mao De Obra, Produtos Saneantes Domissanitarios, Materiais E Equipamentos Para Atender A Reitoria Da Universidade De Pernambuco E O Campus Surubim Da Upe.",Toggi Service Limpeza E Conservacao Eireli,21821091000104,388796.04,1163214.78,2022-06-01,2026-05-31,Em Execucao,Combo 6 - Reitoria - Surubim,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
